ID,Site,Depth,Replicate,Core,Date,OM,d15N,Nitrogen,d13C,Carbon,C_N,Lambda,Sigma8,Lignin_S,Lignin_V,Lignin_C,Lignin_P,Lignin_S_V,Lignin_C_V,Lignin_P_V_S,Lignin_Bd_V,Lignin_AcAd_s,Lignin_AcAd_v
300_179,REFU,10,3,B,2017-03-13,0.87,2.93,0.03,-22.32,0.21,7,,,,,,,,,,,,
300_180,REFU,10,4,B,2017-03-13,1.2,3.04,0.03,-22.54,0.28,9.33,,,,,,,,,,,,
300_181,REFU,20,1,T,2017-03-13,1.06,5.08,0.04,-22.6,0.29,7.25,,,,,,,,,,,,
300_182,REFU,20,2,T,2017-03-13,1.28,3.09,0.05,-23.54,0.48,9.6,,,,,,,,,,,,
300_183,REFU,20,3,T,2017-03-13,0.87,4.37,0.04,-22.93,0.23,5.75,,,,,,,,,,,,
300_184,REFU,20,4,T,2017-03-13,1.54,4.52,0.05,-23.34,0.49,9.8,,,,,,,,,,,,
300_185,REFU,20,1,B,2017-03-13,1.59,4.86,0.05,-23.27,0.41,8.2,,,,,,,,,,,,
300_186,REFU,20,2,B,2017-03-13,1.23,3.72,0.05,-22.94,0.46,9.2,,,,,,,,,,,,
300_187,REFU,20,3,B,2017-03-13,1.24,4.14,0.04,-23.36,0.42,10.5,,,,,,,,,,,,
300_188,REFU,20,4,B,2017-03-13,1.24,4.41,0.05,-23.32,0.5,10,,,,,,,,,,,,
300_189,IVEE,10,1,T,2017-03-13,6.43,,,,,,,,,,,,,,,,,
300_190,IVEE,10,2,T,2017-03-13,5.16,,,,,,,,,,,,,,,,,
300_191,IVEE,10,3,T,2017-03-13,3.69,,,,,,,,,,,,,,,,,
300_192,IVEE,10,4,T,2017-03-13,7.32,,,,,,,,,,,,,,,,,
300_193,IVEE,10,1,B,2017-03-13,6.04,,,,,,,,,,,,,,,,,
300_194,IVEE,10,2,B,2017-03-13,6.49,,,,,,,,,,,,,,,,,
300_195,IVEE,10,3,B,2017-03-13,9.45,,,,,,,,,,,,,,,,,
300_196,IVEE,10,4,B,2017-03-13,3.67,,,,,,,,,,,,,,,,,
300_197,IVEE,20,1,T,2017-03-13,0.73,4.03,0.03,-22.53,0.23,7.67,,,,,,,,,,,,
300_198,IVEE,20,2,T,2017-03-13,0.8,4.61,0.03,-22.82,0.24,8,,,,,,,,,,,,
300_199,IVEE,20,3,T,2017-03-13,0.72,3.83,0.03,-22.35,0.22,7.33,,,,,,,,,,,,
300_200,IVEE,20,4,T,2017-03-13,0.94,4.26,0.03,-22.73,0.23,7.67,,,,,,,,,,,,
300_201,IVEE,20,1,B,2017-03-13,1.26,4.43,0.04,-22.53,0.32,8,,,,,,,,,,,,
300_202,IVEE,20,2,B,2017-03-13,1.36,3.94,0.04,-22.67,0.33,8.25,,,,,,,,,,,,
300_203,IVEE,20,3,B,2017-03-13,1.19,4.03,0.03,-23.9,0.28,9.33,,,,,,,,,,,,
300_204,IVEE,20,4,B,2017-03-13,1.44,3.53,0.04,-22.44,0.32,8,,,,,,,,,,,,
300_205,AHND,10,1,T,2017-03-13,1.08,3.53,0.04,-21.47,0.26,6.5,,,,,,,,,,,,
300_206,AHND,10,2,T,2017-03-13,0.97,3.32,0.04,-26.11,0.32,8,,,,,,,,,,,,
300_207,AHND,10,3,T,2017-03-13,1.09,2.85,0.03,-20.69,0.22,7.33,,,,,,,,,,,,
300_208,AHND,10,4,T,2017-03-13,1.08,2.08,0.04,-20.51,0.21,5.25,,,,,,,,,,,,
300_209,AHND,10,1,B,2017-03-13,1.79,3.32,0.05,-23,0.39,7.8,,,,,,,,,,,,
300_210,AHND,10,2,B,2017-03-13,2.17,3.82,0.05,-22.9,0.46,9.2,,,,,,,,,,,,
300_211,AHND,10,3,B,2017-03-13,1.28,3,0.04,-21.8,0.3,7.5,,,,,,,,,,,,
300_212,AHND,10,4,B,2017-03-13,0.99,2.91,0.03,-20.99,0.21,7,,,,,,,,,,,,
300_213,AHND,20,1,T,2017-03-15,1.47,3.99,0.05,-21.84,0.45,9,,,,,,,,,,,,
300_214,AHND,20,2,T,2017-03-15,1.18,3.78,0.04,-26.68,0.39,9.75,,,,,,,,,,,,
300_215,AHND,20,3,T,2017-03-15,1.34,4.17,0.05,-22.54,0.36,7.2,,,,,,,,,,,,
300_216,AHND,20,4,T,2017-03-15,1.31,3.68,0.04,-22.37,0.33,8.25,,,,,,,,,,,,
300_217,AHND,20,1,B,2017-03-15,1.19,3.3,0.04,-21.93,0.3,7.5,,,,,,,,,,,,
300_218,AHND,20,2,B,2017-03-15,1.5,4.13,0.05,-22.47,0.43,8.6,,,,,,,,,,,,
300_219,AHND,20,3,B,2017-03-15,1.28,4.23,0.05,-22.62,0.45,9,,,,,,,,,,,,
300_220,AHND,20,4,B,2017-03-15,1.15,4.14,0.05,-22.52,0.36,7.2,,,,,,,,,,,,
300_221,AQUE,10,1,T,2017-03-13,1.21,3.24,0.04,-20.89,0.26,6.5,,,,,,,,,,,,
300_222,AQUE,10,2,T,2017-03-13,0.85,2.95,0.04,-26.08,0.29,7.25,,,,,,,,,,,,
300_223,AQUE,10,3,T,2017-03-13,0.76,2.75,0.03,-21.42,0.19,6.33,,,,,,,,,,,,
300_224,AQUE,10,4,T,2017-03-13,1.05,2.84,0.04,-22.22,0.35,8.75,,,,,,,,,,,,
