ID,Site,Year,Depth,Core,Cumul_value_3.9um,Cumul_value_31um,Cumul_value_62.5um,Cumul_value_125um,Diameter_5perc,Diameter_7perc,Diameter_10perc,Diameter_16perc,Diameter_50perc,Diameter_84perc,Diameter_90perc,Diameter_95perc,Diameter_98perc,perc_Clay,perc_Silt,perc_Sand
300_090,REFU,2016,10,B,3.772302508,13.38377285,15.23611164,24.98500013,5.615124941,8.927761078,14.73124647,97.52802467,173.7949677,261.6417389,304.1546936,364.1541748,434.9776306,3.772302508,11.46380913,84.76388836
300_091,REFU,2016,20,T,3.988563538,16.24283695,27.5360651,74.21999741,5.366118193,8.741420269,14.60410261,30.17109776,91.3377533,145.1538849,164.0228653,189.2568054,219.9102707,3.988563538,23.54750156,72.4639349
300_092,REFU,2016,20,T,4.420700073,17.58698273,30.28999043,76.95000076,4.632724047,7.650502443,12.91966629,26.24821568,87.02458572,139.9733047,158.3900681,183.6476669,213.0724869,4.420700073,25.86929035,69.71000957
300_093,REFU,2016,20,B,21.45800591,84.8601799,92.96163559,97.15999985,1.331679881,1.688455641,2.165575206,3.106915593,11.01720333,35.76604748,52.16679287,77.45025063,111.3708191,21.45800591,71.50362968,7.03836441
300_094,REFU,2016,20,B,12.9394269,50.48908043,70.70111656,86.10499954,1.953216851,2.482053578,3.344271302,5.462401032,37.36394978,112.6605797,138.9521351,187.2368279,240.5712318,12.9394269,57.76168966,29.29888344
300_095,AQUE,2016,10,T,2.777454853,11.45222473,19.15049934,71.75500107,9.385853291,16.0092802,25.19315243,56.0651741,98.65222549,146.9840546,164.2670822,187.7193222,216.0447617,2.777454853,16.37304449,80.84950066
300_096,AQUE,2016,10,T,2.797288895,11.39393377,18.95850563,70.39500046,9.345625877,15.93127346,25.38615799,56.10500526,100.0304413,149.6304398,167.2323456,191.2102203,220.41436,2.797288895,16.16121674,81.04149437
300_097,AQUE,2016,10,B,3.101070762,13.27219248,21.77388287,66.25499725,7.675489426,12.26679993,20.56204796,45.3997879,102.0783539,164.3931122,190.5826492,241.5600052,359.8544922,3.101070762,18.6728121,78.22611713
300_098,AQUE,2016,10,B,3.348799348,15.09993982,24.79646873,70.53499603,6.758297682,10.53887796,17.3333621,35.41416454,96.76626587,153.800209,176.4667282,214.63237,290.7591248,3.348799348,21.44766939,75.20353127
300_099,AQUE,2016,20,T,4.243010521,16.95654011,27.8934927,80.09499741,4.889555454,7.98418951,13.65304899,27.91393948,88.02541351,132.2378082,146.5900497,165.9469299,187.9707336,4.243010521,23.65048218,72.1065073
300_100,AQUE,2016,20,T,4.166124821,17.17417908,28.60061836,81.24499893,5.039642572,8.197441101,13.89244127,27.42058468,86.65632629,130.238533,144.568367,163.1139984,182.8335876,4.166124821,24.43449354,71.39938164
300_101,AQUE,2016,20,B,3.814455986,16.21146345,28.35124493,81.96499634,5.769149065,9.363853455,15.79577637,30.37965012,86.00799942,128.9025269,143.151062,161.5714417,181.2131195,3.814455986,24.53678894,71.64875507
300_102,AQUE,2016,20,B,3.182335377,13.56997967,23.49735737,77.07999802,7.606922626,12.43617201,20.39301968,44.71824646,92.41157532,137.3152313,152.3899994,173.2797546,198.3458328,3.182335377,20.31502199,76.50264263
300_103,AHND,2016,10,T,2.665481329,11.159132,16.98811054,66.03000259,10.02684927,16.65408325,26.43444061,59.61014366,105.7047653,156.6775742,174.739418,198.7834702,228.4665146,2.665481329,14.32262921,83.01188946
300_104,AHND,2016,10,T,2.378887177,10.24595976,15.73014212,65.45500183,11.65093184,19.17314816,29.90631676,62.97529221,106.7148247,157.1544876,175.0842514,198.9070892,228.4468613,2.378887177,13.35125494,84.26985788
300_105,AHND,2016,10,B,2.760648251,11.37857914,17.18220997,64.71500015,9.389650822,15.69464493,25.62470627,58.8270607,107.0820656,159.092514,177.4863281,201.7649994,231.1735611,2.760648251,14.42156172,82.81779003
300_106,AHND,2016,10,B,2.654916406,10.82581949,16.47848797,64.5,10.0753274,17.08811569,27.40000916,60.90635109,107.4290504,159.3452988,177.7637939,202.0852966,231.408844,2.654916406,13.82357156,83.52151203
300_107,AHND,2016,20,T,3.55484271,14.95178556,25.94477558,81.07500076,6.414949894,10.42642689,17.75562191,36.26738739,88.14131165,130.4420929,144.5056381,162.7971268,182.285614,3.55484271,22.38993287,74.05522442
300_108,AHND,2016,20,T,3.848294854,16.93684578,30.66843891,83.84999847,5.673090219,9.172893047,15.34352636,28.26457596,82.99389267,125.3259506,139.4611816,158.0539093,178.0902023,3.848294854,26.82014406,69.33156109
300_109,AHND,2016,20,B,3.930066943,16.09803391,26.53032684,79.54499817,5.494847536,8.928426266,15.31721354,31.0721693,89.21671295,133.1302032,147.4015884,166.7004852,188.7488556,3.930066943,22.6002599,73.46967316
300_110,AHND,2016,20,B,3.706398368,15.07757902,25.5227232,78.68500137,6.061356306,9.9530406,17.24754429,35.47305298,90.25108719,134.5955887,148.9160767,169.0681152,193.1692963,3.706398368,21.81632483,74.4772768
300_111,ABUR,2016,10,T,1.665309906,6.476150036,9.083134174,54.48500061,23.19814777,35.25720978,65.59336853,79.93954468,120.081749,170.9128418,188.6408081,211.4560623,238.0215225,1.665309906,7.417824268,90.91686583
300_112,ABUR,2016,10,T,1.684431374,6.561095476,9.03427887,54.02499962,22.95759964,34.31136894,65.91091156,80.40086746,120.5802383,171.601326,189.2782135,212.0846558,238.47155,1.684431374,7.349847496,90.96572113
300_113,ABUR,2016,10,B,2.609532833,10.90443277,16.32775736,57.98999977,10.2379179,16.8734169,27.71515846,60.57426262,115.3141594,169.1430893,187.5709229,211.1475525,238.1387177,2.609532833,13.71822453,83.67224264
